Time,PIR_C104A,PIR_C104,PIR_C106,PIR_C106,PIR_C000,PIR_C101,PIR_C101,PIR_C101C,PIR_C103,PIR_C108,PIR_C110,PIR_C111,PIR_C201,PIR_C202,PIR_C203,PIR_C204,PIR_C205,PIR_C207,PIR_C911A,PIR_C911B,PIR_C912,CO2_C104A,CO2_C104B,CO2_C106A,CO2_C106,CO2_C000,CO2_C101,CO2_C101B,CO2_C101C,CO2_C103,CO2_C108,CO2_C110,CO2_C111,CO2_C201,CO2_C202,CO2_C203,CO2_C204,CO2_C205,CO2_C207,CO2_C911,CO2_C912,light,plug,devices,groundtruth
2018-05-15 15:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,756.0439,646.5891,547.0085,700.8547,699.8779,604.6398,595.8486,666.6666,548.939,572.2938,647.8959,706.7155,504.0293,715.0183,676.8999,625.4539,645.6423,597.8022,555.7997,705.7387,4.97,1.46,26.6667,18
2018-05-15 15:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,756.0439,646.5891,547.0085,700.8547,699.8779,604.6398,595.8486,666.6666,548.939,572.2938,647.8959,706.7155,504.0293,715.0183,676.8999,625.4539,645.6423,597.8022,555.7997,705.7387,4.97,1.47,27,18
2018-05-15 15:41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,756.0439,646.5891,547.0085,700.8547,699.8779,604.6398,595.8486,688.6447,548.939,572.2938,647.8959,706.7155,504.0293,715.0183,676.8999,625.4539,645.6423,597.8022,555.7997,770.696,4.98,1.51,29,18
2018-05-15 15:46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,778.9988,632.967,547.0085,704.7619,702.8083,615.873,602.6862,688.6447,548.939,590.3646,650.3378,725.7631,513.7973,731.624,665.6666,643.6887,660.7827,567.033,585.5922,770.696,4.98,1.55,28,18
2018-05-15 15:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,778.9988,632.967,547.0085,704.7619,702.8083,615.873,602.6862,688.6447,548.939,590.3646,650.3378,725.7631,513.7973,731.624,665.6666,643.6887,660.7827,567.033,585.5922,770.696,4.98,1.58,27,18
2018-05-15 15:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,778.9988,632.967,547.0085,704.7619,702.8083,615.873,602.6862,688.6447,548.939,590.3646,650.3378,725.7631,513.7973,731.624,665.6666,643.6887,660.7827,567.033,585.5922,770.696,4.8,1.4,27.5,17
2018-05-15 16:01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,774.767,628.5714,542.6129,717.9487,710.6227,619.7802,609.0354,688.6447,548.939,598.179,663.0363,736.9963,526.0073,735.0427,661.6284,653.9451,669.5739,568.0098,582.6617,770.696,4.8,1.42,27.5,17
2018-05-15 16:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,774.767,628.5714,542.6129,717.9487,710.6227,619.7802,609.0354,688.6447,548.939,598.179,663.0363,736.9963,526.0073,735.0427,661.6284,653.9451,669.5739,568.0098,582.6617,770.696,4.81,1.41,27.6667,17
2018-05-15 16:11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,774.767,628.5714,542.6129,717.9487,710.6227,619.7802,609.0354,699.8436,548.939,598.179,663.0363,736.9963,526.0073,735.0427,661.6284,653.9451,669.5739,568.0098,582.6617,782.9235,4.8,1.44,26.6667,15
2018-05-15 16:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,740.918,623.6874,518.6813,711.5995,715.9951,620.757,610.0122,699.8436,548.939,611.3658,677.5516,741.8803,534.7985,808.7913,678.8535,661.7595,682.7607,604.3663,590.9646,782.9235,4.79,1.44,25.5,15
2018-05-15 16:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,740.918,623.6874,518.6813,711.5995,715.9951,620.757,610.0122,699.8436,548.939,611.3658,677.5516,741.8803,534.7985,808.7913,678.8535,661.7595,682.7607,604.3663,590.9646,782.9235,4.97,1.42,27,13
2018-05-15 16:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,740.918,623.6874,518.6813,711.5995,715.9951,620.757,610.0122,699.8436,548.939,611.3658,677.5516,741.8803,534.7985,808.7913,678.8535,661.7595,682.7607,604.3663,590.9646,782.9235,4.98,1.58,25,13
2018-05-15 16:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,738.9499,615.873,442.9792,683.7607,715.0183,600.7326,589.9878,699.8436,548.939,599.2869,677.1999,710.6227,505.0061,717.9487,635.8743,627.5714,650.0378,568.0098,590.9646,782.9235,4.97,1.43,23.6667,14
2018-05-15 16:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,738.9499,615.873,442.9792,683.7607,715.0183,600.7326,589.9878,699.8436,548.939,599.2869,677.1999,710.6227,505.0061,717.9487,635.8743,627.5714,650.0378,568.0098,590.9646,782.9235,4.97,1.44,23.5,13
2018-05-15 16:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,738.9499,615.873,442.9792,683.7607,715.0183,600.7326,589.9878,679.8535,548.939,599.2869,677.1999,710.6227,505.0061,717.9487,635.8743,627.5714,650.0378,568.0098,590.9646,737.9731,4.97,1.43,21,10
2018-05-15 16:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.9732,593.895,442.0024,660.8058,694.0171,580.7082,574.8474,679.8535,548.939,582.0618,663.0363,674.9695,476.6789,694.0171,604.6166,591.9182,615.8498,532.8449,541.6361,737.9731,4.79,1.44,16.5,8
2018-05-15 16:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.9732,593.895,442.0024,660.8058,694.0171,580.7082,574.8474,679.8535,548.939,582.0618,663.0363,674.9695,476.6789,694.0171,604.6166,591.9182,615.8498,532.8449,541.6361,737.9731,4.8,1.42,14.5,7
2018-05-15 16:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.9732,593.895,442.0024,660.8058,694.0171,580.7082,574.8474,679.8535,548.939,582.0618,663.0363,674.9695,476.6789,694.0171,604.6166,591.9182,615.8498,532.8449,541.6361,737.9731,4.8,1.42,13.6667,7
2018-05-15 17:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,693.1074,598.6151,437.6069,665.6899,684.7375,579.7314,568.0098,679.8535,548.939,563.991,664.0131,679.8535,469.8413,683.7607,600.7094,588.011,611.9426,506.9597,521.6118,737.9731,4.8,1.54,14,7
2018-05-15 17:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,693.1074,598.6151,437.6069,665.6899,684.7375,579.7314,568.0098,679.8535,548.939,563.991,664.0131,679.8535,469.8413,683.7607,600.7094,588.011,611.9426,506.9597,521.6118,737.9731,4.8,1.43,15,6
2018-05-15 17:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,693.1074,598.6151,437.6069,665.6899,684.7375,579.7314,568.0098,658.921,548.939,563.991,664.0131,679.8535,469.8413,683.7607,600.7094,588.011,611.9426,506.9597,521.6118,695.9927,4.99,1.45,15,6
2018-05-15 17:16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,557.7534,442.0024,665.6899,675.9463,573.8705,555.7997,658.921,548.939,557.7394,651.5381,669.6947,466.9109,669.597,603.6398,587.0342,605.5934,501.5873,515.7509,695.9927,4.98,1.44,15,5
2018-05-15 17:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,557.7534,442.0024,665.6899,675.9463,573.8705,555.7997,658.921,548.939,557.7394,651.5381,669.6947,466.9109,669.597,603.6398,587.0342,605.5934,501.5873,515.7509,695.9927,4.98,1.42,15,5
2018-05-15 17:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,557.7534,442.0024,665.6899,675.9463,573.8705,555.7997,658.921,548.939,557.7394,651.5381,669.6947,466.9109,669.597,603.6398,587.0342,605.5934,501.5873,515.7509,695.9927,4.98,1.41,15.5,5
2018-05-15 17:31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,689.6215,570.9402,442.9792,666.6666,669.597,570.9402,562.6374,658.921,548.939,551.2926,630.2791,673.0159,463.0037,648.5959,589.9646,578.7314,601.6862,497.6801,498.6569,695.9927,4.99,1.4,14.6667,4
2018-05-15 17:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.6215,570.9402,442.9792,666.6666,669.597,570.9402,562.6374,658.921,548.939,551.2926,630.2791,673.0159,463.0037,648.5959,589.9646,578.7314,601.6862,497.6801,498.6569,695.9927,4.98,1.54,14.3333,3
2018-05-15 17:41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,689.6215,570.9402,442.9792,666.6666,669.597,570.9402,562.6374,655.9218,548.939,551.2926,630.2791,673.0159,463.0037,648.5959,589.9646,578.7314,601.6862,497.6801,498.6569,668.6202,4.98,1.39,15,4
2018-05-15 17:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,688.6447,574.5739,432.7229,655.9218,670.5739,567.033,556.7766,655.9218,548.939,543.9666,634.2206,653.9683,460.5616,657.8754,596.8022,576.7778,605.5934,498.6569,490.8425,668.6202,4.98,1.39,15,5
2018-05-15 17:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,688.6447,574.5739,432.7229,655.9218,670.5739,567.033,556.7766,655.9218,548.939,543.9666,634.2206,653.9683,460.5616,657.8754,596.8022,576.7778,605.5934,498.6569,490.8425,668.6202,4.98,1.46,15,4
2018-05-15 17:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,688.6447,574.5739,432.7229,655.9218,670.5739,567.033,556.7766,655.9218,548.939,543.9666,634.2206,653.9683,460.5616,657.8754,596.8022,576.7778,605.5934,498.6569,490.8425,668.6202,4.99,1.44,14.6667,3
2018-05-15 18:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,682.7496,569.9634,437.6069,656.8986,667.6434,579.7314,555.7997,655.9218,548.939,539.0826,632.267,652.9915,456.6544,646.6423,580.5991,578.7314,598.9197,489.8657,485.9585,668.6202,4.8,1.46,14,4
2018-05-15 18:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,682.7496,569.9634,437.6069,656.8986,667.6434,579.7314,555.7997,655.9218,548.939,539.0826,632.267,652.9915,456.6544,646.6423,580.5991,578.7314,598.9197,489.8657,485.9585,668.6202,4.81,1.42,13.5,3
2018-05-15 18:11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,682.7496,569.9634,437.6069,656.8986,667.6434,579.7314,555.7997,658.8303,548.939,539.0826,632.267,652.9915,456.6544,646.6423,580.5991,578.7314,598.9197,489.8657,485.9585,652.9689,4.81,1.56,13,3
2018-05-15 18:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,683.7607,567.033,436.6301,656.8986,666.6666,579.7314,555.7997,658.8303,548.939,538.1058,616.1498,651.0378,455.6776,652.9915,596.8022,582.6385,593.8718,496.7033,481.5629,652.9689,3.42,1.39,13.5,3
2018-05-15 18:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,683.7607,567.033,436.6301,656.8986,666.6666,579.7314,555.7997,658.8303,548.939,538.1058,616.1498,651.0378,455.6776,652.9915,596.8022,582.6385,593.8718,496.7033,481.5629,652.9689,3.42,1.4,13.5,3
2018-05-15 18:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,683.7607,567.033,436.6301,656.8986,666.6666,579.7314,555.7997,658.8303,548.939,538.1058,616.1498,651.0378,455.6776,652.9915,596.8022,582.6385,593.8718,496.7033,481.5629,652.9689,3.42,1.41,13,3
2018-05-15 18:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,691.5751,569.9634,404.884,653.9683,662.7595,575.8242,555.7997,658.8303,548.939,540.0594,611.2658,651.0378,454.7009,651.0378,602.663,583.6013,599.7326,488.8889,498.6569,652.9689,3.6,1.46,13,4
2018-05-15 18:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,691.5751,569.9634,404.884,653.9683,662.7595,575.8242,555.7997,658.8303,548.939,540.0594,611.2658,651.0378,454.7009,651.0378,602.663,583.6013,599.7326,488.8889,498.6569,652.9689,3.6,1.38,12.3333,3
2018-05-15 18:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,691.5751,569.9634,404.884,653.9683,662.7595,575.8242,555.7997,654.9451,548.939,540.0594,611.2658,651.0378,454.7009,651.0378,602.663,583.6013,599.7326,488.8889,498.6569,652.9915,3.48,1.42,10,3
2018-05-15 18:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,687.6679,572.8937,396.5812,652.0146,661.7827,573.8705,553.8462,654.9451,548.939,536.1522,606.8702,631.9902,453.7241,645.6655,588.3311,577.7546,598.7558,494.7497,495.7265,652.9915,3.23,1.54,9,2
2018-05-15 18:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,687.6679,572.8937,396.5812,652.0146,661.7827,573.8705,553.8462,654.9451,548.939,536.1522,606.8702,631.9902,453.7241,645.6655,588.3311,577.7546,598.7558,494.7497,495.7265,652.9915,3.05,1.37,8.5,2
2018-05-15 18:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,687.6679,572.8937,396.5812,652.0146,661.7827,573.8705,553.8462,654.9451,548.939,536.1522,606.8702,631.9902,453.7241,645.6655,588.3311,577.7546,598.7558,494.7497,495.7265,652.9915,3.23,1.36,8,1
2018-05-15 19:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,688.6447,571.917,404.884,652.9915,660.8058,568.9866,558.7302,654.9451,548.939,536.1522,604.9166,654.9451,453.7241,655.9218,579.7222,575.801,600.5783,489.8657,492.7961,652.9915,3.05,1.36,7.5,1
2018-05-15 19:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,688.6447,571.917,404.884,652.9915,660.8058,568.9866,558.7302,654.9451,548.939,536.1522,604.9166,654.9451,453.7241,655.9218,579.7222,575.801,600.5783,489.8657,492.7961,652.9915,3.05,1.39,7,1
2018-05-15 19:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,688.6447,571.917,404.884,652.9915,660.8058,568.9866,558.7302,655.9218,548.939,536.1522,604.9166,654.9451,453.7241,655.9218,579.7222,575.801,600.5783,489.8657,492.7961,641.7758,3.06,1.31,7,1
2018-05-15 19:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,678.8767,562.6374,405.8608,646.6423,659.829,571.917,554.823,655.9218,548.939,528.5426,600.1165,637.8511,451.7704,638.8278,572.8705,564.4367,597.779,492.7961,499.6337,641.7758,3.06,1.37,7,1
2018-05-15 19:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.8767,562.6374,405.8608,646.6423,659.829,571.917,554.823,655.9218,548.939,528.5426,600.1165,637.8511,451.7704,638.8278,572.8705,564.4367,597.779,492.7961,499.6337,641.7758,3.23,1.47,6,0
2018-05-15 19:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,678.8767,562.6374,405.8608,646.6423,659.829,571.917,554.823,655.9218,548.939,528.5426,600.1165,637.8511,451.7704,638.8278,572.8705,564.4367,597.779,492.7961,499.6337,641.7758,3.23,1.37,5,0
2018-05-15 19:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,673.9927,565.5678,399.0232,655.9218,662.7595,573.8705,555.7997,655.9218,548.939,533.2217,596.1254,651.0378,449.8168,661.7827,567.9866,595.8165,595.8254,491.8334,485.9585,641.7758,3.23,1.37,5,0
2018-05-15 19:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,673.9927,565.5678,399.0232,655.9218,662.7595,573.8705,555.7997,655.9218,548.939,533.2217,596.1254,651.0378,449.8168,661.7827,567.9866,595.8165,595.8254,491.8334,485.9585,641.7758,3.23,1.4,5.3333,0
2018-05-15 19:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,673.9927,565.5678,399.0232,655.9218,662.7595,573.8705,555.7997,648.5959,548.939,533.2217,596.1254,651.0378,449.8168,661.7827,567.9866,595.8165,595.8254,491.8334,485.9585,653.9683,3.23,1.37,6,1
2018-05-15 19:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,670.406,571.4523,399.0232,652.0146,660.8058,569.9634,549.939,648.5959,548.939,537.129,597.1022,641.7582,454.7009,679.8535,569.9402,592.895,600.7094,486.9353,488.8889,653.9683,3.23,1.36,6.5,1
2018-05-15 19:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,670.406,571.4523,399.0232,652.0146,660.8058,569.9634,549.939,648.5959,548.939,537.129,597.1022,641.7582,454.7009,679.8535,569.9402,592.895,600.7094,486.9353,488.8889,653.9683,3.22,1.37,7,1
2018-05-15 19:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,670.406,571.4523,399.0232,652.0146,660.8058,569.9634,549.939,648.5959,548.939,537.129,597.1022,641.7582,454.7009,679.8535,569.9402,592.895,600.7094,486.9353,488.8889,653.9683,3.04,1.49,7.3333,1
2018-05-15 20:01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,672.9983,569.9097,401.9536,653.9683,656.8986,574.8474,549.939,648.5959,548.939,534.1985,591.2414,652.9915,457.6313,682.7839,571.8937,601.6862,602.663,494.7497,487.9121,653.9683,3.04,1.36,7.5,1
2018-05-15 20:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,672.9983,569.9097,401.9536,653.9683,656.8986,574.8474,549.939,648.5959,548.939,534.1985,591.2414,652.9915,457.6313,682.7839,571.8937,601.6862,602.663,494.7497,487.9121,653.9683,3.04,1.39,7,1
2018-05-15 20:11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,672.9983,569.9097,401.9536,653.9683,656.8986,574.8474,549.939,652.0146,548.939,534.1985,591.2414,652.9915,457.6313,682.7839,571.8937,601.6862,602.663,494.7497,487.9121,659.829,3.03,0.99,7,1
2018-05-15 20:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,573.8705,407.8144,673.0159,662.7595,575.8242,550.9158,652.0146,548.939,538.1058,593.1675,653.9683,455.6776,702.8083,567.0098,601.6862,606.5702,489.8657,504.0293,659.829,3.03,0.99,7,1
2018-05-15 20:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,573.8705,407.8144,673.0159,662.7595,575.8242,550.9158,652.0146,548.939,538.1058,593.1675,653.9683,455.6776,702.8083,567.0098,601.6862,606.5702,489.8657,504.0293,659.829,3.03,1,7,1
2018-05-15 20:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,573.8705,407.8144,673.0159,662.7595,575.8242,550.9158,652.0146,548.939,538.1058,593.1675,653.9683,455.6776,702.8083,567.0098,601.6862,606.5702,489.8657,504.0293,659.829,3.03,1.13,7,2
2018-05-15 20:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,695.9707,575.8242,420.0244,679.8535,678.8767,582.6617,553.8462,652.0146,548.939,537.129,592.2182,666.6666,460.5616,690.5983,570.917,603.6398,605.5934,491.8193,492.7961,659.829,3.03,1.01,7,2
2018-05-15 20:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,695.9707,575.8242,420.0244,679.8535,678.8767,582.6617,553.8462,652.0146,548.939,537.129,592.2182,666.6666,460.5616,690.5983,570.917,603.6398,605.5934,491.8193,492.7961,659.829,4.19,1.02,7,1
2018-05-15 20:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,695.9707,575.8242,420.0244,679.8535,678.8767,582.6617,553.8462,661.0012,548.939,537.129,592.2182,666.6666,460.5616,690.5983,570.917,603.6398,605.5934,491.8193,492.7961,661.431,4.25,1.01,7.5,1
2018-05-15 20:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,699.8779,581.685,428.8156,682.7839,673.0159,584.6154,560.6838,661.0012,548.939,547.3854,595.1486,664.7131,460.5616,696.9475,576.8121,603.6398,604.6166,493.7729,491.8193,661.431,4.25,1,7.5,1
2018-05-15 20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,699.8779,581.685,428.8156,682.7839,673.0159,584.6154,560.6838,661.0012,548.939,547.3854,595.1486,664.7131,460.5616,696.9475,576.8121,603.6398,604.6166,493.7729,491.8193,661.431,4.25,1.03,7,1
2018-05-15 20:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,699.8779,581.685,428.8156,682.7839,673.0159,584.6154,560.6838,661.0012,548.939,547.3854,595.1486,664.7131,460.5616,696.9475,576.8121,603.6398,604.6166,493.7729,491.8193,661.431,4.24,1.14,7,1
2018-05-15 21:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,698.9011,581.685,425.8853,676.9231,676.9231,583.6385,561.6606,661.0012,548.939,537.129,594.1718,663.7265,457.6313,694.0171,572.8705,601.6862,608.0354,490.8425,491.8193,661.431,4.25,1.16,7,1
2018-05-15 21:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,698.9011,581.685,425.8853,676.9231,676.9231,583.6385,561.6606,661.0012,548.939,537.129,594.1718,663.7265,457.6313,694.0171,572.8705,601.6862,608.0354,490.8425,491.8193,661.431,4.24,1.03,7,0
2018-05-15 21:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,698.9011,581.685,425.8853,676.9231,676.9231,583.6385,561.6606,665.6899,548.939,537.129,594.1718,663.7265,457.6313,694.0171,572.8705,601.6862,608.0354,490.8425,491.8193,665.6899,4.24,1.02,7,0
2018-05-15 21:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.6215,584.6154,424.9084,682.7839,676.9231,586.569,560.6838,665.6899,548.939,538.2089,599.0558,659.829,456.6544,701.8315,579.7082,608.0354,609.0122,492.7961,495.7265,665.6899,4.24,1.04,7,0
2018-05-15 21:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.6215,584.6154,424.9084,682.7839,676.9231,586.569,560.6838,665.6899,548.939,538.2089,599.0558,659.829,456.6544,701.8315,579.7082,608.0354,609.0122,492.7961,495.7265,665.6899,3.05,1,7,0
2018-05-15 21:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.6215,584.6154,424.9084,682.7839,676.9231,586.569,560.6838,665.6899,548.939,538.2089,599.0558,659.829,456.6544,701.8315,579.7082,608.0354,609.0122,492.7961,495.7265,665.6899,3.04,1.05,7,0
2018-05-15 21:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,704.1052,589.9878,423.9316,676.9231,675.9463,589.9878,562.6374,665.6899,548.939,545.4318,597.1022,657.8754,458.6081,712.5763,577.7546,601.6862,604.6166,492.7961,489.8657,665.6899,2.75,1.11,7,0
